Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDR)
2017 191  3870  -1836969.409   6065616.953   -716257.935      0.790   2.268   0.278   2.545  14.217
2017 191  3900  -1836969.408   6065616.952   -716257.935      1.355   2.268   0.278   2.546  14.218
2017 191  3930  -1836969.407   6065616.952   -716257.935      1.424   2.268   0.278   2.546  14.220
2017 191  3960  -1836969.407   6065616.952   -716257.935      1.879   2.268   0.278   2.546  14.221
2017 191  3990  -1836969.406   6065616.951   -716257.935      1.487   2.268   0.278   2.546  14.223
2017 191  4020  -1836969.406   6065616.950   -716257.935      1.479   2.268   0.279   2.546  14.226
2017 191  4050  -1836969.405   6065616.949   -716257.935      1.376   2.268   0.279   2.547  14.228
2017 191  4080  -1836969.405   6065616.949   -716257.935      1.470   2.268   0.279   2.547  14.229
2017 191  4110  -1836969.404   6065616.947   -716257.935      1.446   2.268   0.280   2.548  14.232
2017 191  4140  -1836969.403   6065616.947   -716257.935      1.627   2.268   0.280   2.548  14.235
2017 191  4170  -1836969.402   6065616.946   -716257.935      1.233   2.268   0.280   2.548  14.236
2017 191  4200  -1836969.400   6065616.944   -716257.935      1.286   2.268   0.281   2.548  14.240
2017 191  4230  -1836969.399   6065616.943   -716257.934      1.047   2.268   0.281   2.549  14.243
2017 191  4260  -1836969.398   6065616.943   -716257.934      1.777   2.268   0.281   2.549  14.245
2017 191  4290  -1836969.396   6065616.942   -716257.934      1.431   2.268   0.281   2.549  14.248
2017 191  4320  -1836969.395   6065616.942   -716257.934      1.383   2.268   0.281   2.549  14.249
2017 191  4350  -1836969.394   6065616.941   -716257.934      1.390   2.268   0.281   2.549  14.252
2017 191  4380  -1836969.393   6065616.940   -716257.934      1.036   2.268   0.281   2.549  14.253
2017 191  4410  -1836969.393   6065616.939   -716257.934      1.298   2.268   0.282   2.549  14.255
2017 191  4440  -1836969.392   6065616.938   -716257.934      0.962   2.268   0.282   2.550  14.258
2017 191  4470  -1836969.391   6065616.937   -716257.933      1.498   2.268   0.282   2.550  14.259
2017 191  4500  -1836969.391   6065616.937   -716257.933      1.393   2.268   0.282   2.550  14.262
2017 191  4530  -1836969.390   6065616.936   -716257.933      1.567   2.268   0.282   2.550  14.264
2017 191  4560  -1836969.390   6065616.935   -716257.933      1.310   2.268   0.282   2.550  14.266
2017 191  4590  -1836969.390   6065616.935   -716257.933      1.352   2.268   0.283   2.550  14.268
2017 191  4620  -1836969.389   6065616.934   -716257.933      1.520   2.268   0.283   2.550  14.270
2017 191  4650  -1836969.389   6065616.933   -716257.932      1.531   2.268   0.283   2.550  14.272
2017 191  4680  -1836969.389   6065616.932   -716257.932      1.362   2.268   0.283   2.551  14.274
2017 191  4710  -1836969.389   6065616.931   -716257.932      1.499   2.268   0.283   2.551  14.277
2017 191  4740  -1836969.389   6065616.930   -716257.932      1.543   2.268   0.283   2.551  14.277
2017 191  4770  -1836969.389   6065616.929   -716257.931      1.251   2.268   0.283   2.551  14.279
2017 191  4800  -1836969.389   6065616.928   -716257.931      1.059   2.268   0.284   2.551  14.281
2017 191  4830  -1836969.389   6065616.927   -716257.931      1.194   2.268   0.284   2.551  14.283
2017 191  4860  -1836969.389   6065616.926   -716257.931      1.747   2.268   0.284   2.551  14.285
2017 191  4890  -1836969.389   6065616.925   -716257.930      1.309   2.268   0.284   2.551  14.287
2017 191  4920  -1836969.389   6065616.924   -716257.930      1.439   2.268   0.284   2.552  14.289
2017 191  4950  -1836969.389   6065616.924   -716257.930      1.918   2.268   0.284   2.551  14.292
2017 191  4980  -1836969.389   6065616.923   -716257.930      2.129   2.268   0.284   2.551  14.294
2017 191  5010  -1836969.389   6065616.922   -716257.930      1.701   2.268   0.284   2.551  14.297
2017 191  5040  -1836969.390   6065616.921   -716257.930      1.496   2.268   0.284   2.552  14.298
2017 191  5070  -1836969.390   6065616.921   -716257.930      1.645   2.268   0.284   2.552  14.300
2017 191  5100  -1836969.390   6065616.920   -716257.929      1.634   2.268   0.284   2.552  14.303
2017 191  5130  -1836969.390   6065616.919   -716257.929      1.713   2.268   0.284   2.552  14.305
2017 191  5160  -1836969.390   6065616.918   -716257.929      1.432   2.268   0.284   2.552  14.308
2017 191  5190  -1836969.390   6065616.918   -716257.929      1.309   2.268   0.284   2.552  14.310
2017 191  5220  -1836969.390   6065616.918   -716257.929      1.132   2.268   0.284   2.552  14.312
2017 191  5250  -1836969.390   6065616.917   -716257.929      1.160   2.268   0.284   2.552  14.315
2017 191  5280  -1836969.391   6065616.916   -716257.929      1.232   2.268   0.285   2.552  14.318
2017 191  5310  -1836969.391   6065616.915   -716257.929      1.390   2.268   0.285   2.553  14.321
2017 191  5340  -1836969.391   6065616.915   -716257.929      1.670   2.268   0.285   2.553  14.323
2017 191  5370  -1836969.392   6065616.915   -716257.929      1.523   2.268   0.285   2.553  14.326
2017 191  5400  -1836969.392   6065616.914   -716257.929      1.514   2.268   0.285   2.553  14.328
2017 191  5430  -1836969.392   6065616.913   -716257.929      1.402   2.268   0.285   2.553  14.330
2017 191  5460  -1836969.393   6065616.912   -716257.928      1.816   2.268   0.286   2.554  14.332
2017 191  5490  -1836969.393   6065616.911   -716257.928      2.575   2.268   0.286   2.554  14.335
2017 191  5520  -1836969.393   6065616.910   -716257.928      2.230   2.268   0.287   2.554  14.337
2017 191  5550  -1836969.393   6065616.909   -716257.928      1.912   2.268   0.287   2.555  14.339
2017 191  5580  -1836969.394   6065616.908   -716257.928      2.198   2.268   0.288   2.555  14.340
2017 191  5610  -1836969.394   6065616.907   -716257.928      1.901   2.268   0.288   2.556  14.342
2017 191  5640  -1836969.395   6065616.906   -716257.928      1.528   2.268   0.288   2.556  14.343
2017 191  5670  -1836969.395   6065616.905   -716257.928      1.812   2.268   0.289   2.556  14.345
2017 191  5700  -1836969.396   6065616.904   -716257.928      1.950   2.268   0.289   2.557  14.347
2017 191  5730  -1836969.396   6065616.903   -716257.928      1.739   2.268   0.290   2.557  14.348
2017 191  5760  -1836969.397   6065616.902   -716257.928      1.747   2.268   0.290   2.557  14.350
2017 191  5790  -1836969.397   6065616.901   -716257.928      2.016   2.268   0.290   2.558  14.353
2017 191  5820  -1836969.398   6065616.900   -716257.928      1.660   2.268   0.290   2.558  14.355
2017 191  5850  -1836969.398   6065616.900   -716257.928      1.260   2.268   0.290   2.558  14.354
2017 191  5880  -1836969.399   6065616.899   -716257.928      1.580   2.268   0.290   2.558  14.356
2017 191  5910  -1836969.399   6065616.898   -716257.928      1.503   2.268   0.291   2.558  14.357
2017 191  5940  -1836969.400   6065616.898   -716257.927      1.425   2.268   0.291   2.558  14.358
2017 191  5970  -1836969.400   6065616.897   -716257.927      0.954   2.268   0.291   2.558  14.360
2017 191  6000  -1836969.401   6065616.897   -716257.927     -0.246   2.268   0.291   2.558  14.360
2017 191  6030  -1836969.401   6065616.896   -716257.927      1.462   2.268   0.291   2.559  14.361
2017 191  6060  -1836969.402   6065616.895   -716257.927      1.586   2.268   0.291   2.559  14.363
2017 191  6090  -1836969.402   6065616.895   -716257.927      1.242   2.268   0.291   2.559  14.364
2017 191  6120  -1836969.402   6065616.894   -716257.927      1.326   2.268   0.292   2.560  14.364
